sample_id	score	global_score	seq_recovery
N/A	1.4585	1.5042	N/A
1	0.7245	0.8066	0.5205
2	0.7180	0.8091	0.5342
3	0.6937	0.7878	0.4932
4	0.7068	0.7888	0.4795
5	0.7037	0.7823	0.5205
6	0.7419	0.8248	0.5753
7	0.6960	0.7789	0.4795
8	0.7284	0.8103	0.5205
9	0.7215	0.8017	0.4795
10	0.7161	0.7965	0.5342
11	0.7126	0.8021	0.5342
12	0.7091	0.7881	0.4658
13	0.7046	0.7868	0.5205
14	0.6903	0.7705	0.5205
15	0.6863	0.7697	0.4932
16	0.7246	0.8046	0.4932
17	0.7201	0.8041	0.4932
18	0.7048	0.7872	0.5479
19	0.7031	0.7939	0.4795
20	0.7269	0.8191	0.5616
21	0.7166	0.7982	0.5479
22	0.6970	0.7833	0.4795
23	0.7281	0.8199	0.5205
24	0.7119	0.7965	0.5068
25	0.7143	0.8078	0.4932
26	0.6904	0.7746	0.4795
27	0.6594	0.7474	0.5068
28	0.6651	0.7576	0.5479
29	0.6849	0.7783	0.5205
30	0.7378	0.8214	0.5616
31	0.7241	0.8079	0.4932
32	0.6960	0.7797	0.5205
33	0.7186	0.8068	0.5479
34	0.6943	0.7807	0.5342
35	0.7095	0.7885	0.4795
36	0.7201	0.8042	0.4521
37	0.7133	0.8034	0.4795
38	0.7031	0.7853	0.5205
39	0.7255	0.8101	0.5205
40	0.7049	0.7842	0.4932
41	0.6903	0.7743	0.4932
42	0.6980	0.7838	0.4795
43	0.7187	0.8108	0.5205
44	0.7159	0.8057	0.4384
45	0.6944	0.7808	0.5068
46	0.7216	0.8127	0.5068
47	0.7238	0.8151	0.5068
48	0.6921	0.7834	0.4932
49	0.7065	0.7907	0.5479
50	0.7369	0.8282	0.5205
51	0.7026	0.7862	0.4795
52	0.7310	0.8127	0.4795
53	0.7025	0.7927	0.5342
54	0.7499	0.8295	0.5068
55	0.7049	0.7906	0.5205
56	0.7306	0.8082	0.5068
57	0.7288	0.8207	0.4384
58	0.6866	0.7703	0.5479
59	0.7320	0.8224	0.5479
60	0.7035	0.7848	0.5205
61	0.6475	0.7367	0.5205
62	0.6947	0.7880	0.5342
63	0.6798	0.7638	0.5205
64	0.7166	0.7977	0.4932
65	0.6946	0.7893	0.5205
66	0.6781	0.7649	0.4795
67	0.7122	0.7905	0.5342
68	0.6995	0.7817	0.4795
69	0.7174	0.7991	0.5342
70	0.7102	0.8004	0.4932
71	0.7146	0.7961	0.5205
72	0.7018	0.7916	0.4932
73	0.7170	0.8053	0.5205
74	0.6865	0.7800	0.5342
75	0.7210	0.8051	0.5068
76	0.7011	0.7843	0.5068
77	0.6772	0.7686	0.5068
78	0.7028	0.7925	0.4658
79	0.6958	0.7813	0.5068
80	0.7253	0.8161	0.5068
81	0.6990	0.7934	0.5068
82	0.7045	0.7955	0.5205
83	0.7179	0.8075	0.4932
